"","subjectNo","tSpanPartialScore","tsMathErrorTotal","tspanPartialBlock1","tspanPartialBlock2","tspanPartialBlock3","tsAccErrorTotal","tsSpeedErrorTotal","tsAbsoluteScore","tsStrats"
"205",933,45,9,11,15,19,8,1,14,"{SHIFT}{SHIFT}I{SPACE}kept{SPACE}track{SPACE}of{SPACE}each{SPACE}sound{SPACE}on{SPACE}my{SPACE}fingers{SPACE}s{SHIFT}{SHIFT}{.}{SPACE}{SHIFT}{ENTER}"
"206",934,23,1,9,7,7,1,0,6,"{ENTER}"
"207",935,54,2,18,20,16,0,2,28,"{CAPSLOCK}I{CAPSLOCK}{SPACE}kept{SPACE}repeating{SPACE}{SPACE}{CAPSLOCK}H{CAPSLOCK}{SPACE}for{SPACE}everytime{SPACE}{CAPSLOCK}I{CAPSLOCK}{SPACE}heard{SPACE}a{SPACE}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}HIGH{SPACE}{CAPSLOCK}tone{SPACE}a{SPACE}{CAPSLOCK}M{CAPSLOCK}{SPACE}for{SPACE}medium{SPACE}{SPACE}and{SPACE}an{SPACE}{CAPSLOCK}L{CAPSLOCK}{SPACE}for{SPACE}low{.}{SPACE}{CAPSLOCK}I{CAPSLOCK}t{SPACE}was{SPACE}easier{SPACE}to{SPACE}remember{SPACE}that{SPACE}way{.}{ENTER}"
"208",936,37,7,8,13,16,6,1,12,"{SHIFT}I{SPACE}thought{SPACE}about{SPACE}the{SPACE}fingers{SPACE}on{SPACE}my{SPACE}hand{SPACE}and{SPACE}my{SPACE}pinkie{SPACE}was{SPACE}for{SPACE}the{SPACE}low{SPACE}notes{,}{SPACE}my{SPACE}middle{SPACE}finger{SPACE}for{SPACE}the{SPACE}medi{LEFTARROW}{LEFTARROW}um{SPACE}notes{SPACE}and{SPACE}my{SPACE}thumb{SPACE}for{SPACE}the{SPACE}high{SPACE}notes{.}{ENTER}"
"209",937,62,2,23,18,21,2,0,29,"{CAPSLOCK}I{SPACE}{CAPSLOCK}tapped{SPACE}my{SPACE}fingers{SPACE}to{SPACE}match{SPACE}each{SPACE}tone{,}{SPACE}thumb{SPACE}for{SPACE}high{,}{SPACE}middle{SPACE}finger{SPACE}for{SPACE}middle{,}{SPACE}and{SPACE}pinky{SPACE}for{SPACE}low{SPACE}tone{.}{SPACE}{CAPSLOCK}I{CAPSLOCK}{SPACE}also{SPACE}repeated{SPACE}the{SPACE}tones{SPACE}before{SPACE}each{SPACE}math{SPACE}problem{.}{ENTER}"
"210",938,34,7,10,9,15,6,1,3,"i{SPACE}counted{SPACE}on{SPACE}my{SPACE}fingers{SPACE}how{SPACE}many{SPACE}problems{SPACE}i{SPACE}did{ENTER}"
"211",939,64,5,25,16,23,5,0,57,"i{SPACE}repeated{SPACE}the{SPACE}tone{SPACE}after{SPACE}each{SPACE}math{SPACE}problem{SPACE}{ENTER}"
"212",940,40,3,14,10,16,2,1,19,"{SHIFT}{ENTER}"
"213",941,36,3,10,15,11,3,0,10,"repeat{SPACE}sequences{SPACE}of{SPACE}tons{SPACE}in{SPACE}my{SPACE}head{SPACE}{ENTER}"
"214",942,33,3,11,9,13,3,0,13,"{SHIFT}Counting{SPACE}on{SPACE}my{SPACE}fingers{SPACE}for{SPACE}faster{SPACE}results{SPACE}and{SPACE}tapping{SPACE}the{SPACE}desking{SPACE}to{SPACE}which{SPACE}pitch{SPACE}the{SPACE}tone{SPACE}was{SPACE}in{SPACE}order{SPACE}of{SPACE}{SHIFT}{(}{SHIFT}low{SPACE}{SHIFT}{(}all{SPACE}the{SPACE}way{SPACE}to{SPACE}the{SPACE}left{SHIFT}{ENTER}"
"215",943,48,3,15,11,22,3,0,21,"{SHIFT}I{SPACE}just{SPACE}memorized{SPACE}the{SPACE}tones{.}{ENTER}"
"216",945,44,7,8,17,19,4,3,28,"focus{SPACE}on{SPACE}repeating{SPACE}each{SPACE}tone{SPACE}to{SPACE}myself{SPACE}after{SPACE}each{SPACE}math{SPACE}question{SPACE}in{SPACE}the{SPACE}sequence{SPACE}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}I{CAPSLOCK}{SPACE}heard{SPACE}before{ENTER}"
"217",946,29,12,11,5,13,11,1,8,"tried{SPACE}to{SPACE}repeat{SPACE}the{SPACE}note{SPACE}i{SPACE}recognized{SPACE}over{SPACE}and{SPACE}over{SPACE}in{SPACE}my{SPACE}head{,}{SPACE}also{SPACE}tried{SPACE}using{SPACE}my{SPACE}fingers{SPACE}to{SPACE}signify{SPACE}different{SPACE}notes{.}{SPACE}{ENTER}"
"218",947,46,6,7,19,20,5,1,10,"kept{SPACE}repeating{SPACE}them{SPACE}to{SPACE}myself{.}{ENTER}"
"219",948,63,9,22,19,22,6,3,38,"{SHIFT}I{SPACE}used{SPACE}{SHIFT}my{SPACE}fingers{SPACE}to{SPACE}remember{SPACE}different{SPACE}tones{ENTER}"
"220",949,58,3,15,21,22,2,1,41,"{CAPSLOCK}I{CAPSLOCK}{SPACE}had{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}keep{SPACE}track{SPACE}of{SPACE}the{SPACE}sounds{SPACE}{CAPSLOCK}I{CAPSLOCK}{SPACE}had{SPACE}heard{SPACE}through{SPACE}the{SPACE}headphones{.}{LEFTARROW}{ENTER}"
"221",950,21,4,11,5,5,3,1,4,"{SHIFT}None{ENTER}"
"222",951,47,5,18,12,17,5,0,16,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}remember{SPACE}the{SPACE}sounds{SPACE}in{SPACE}order{.}{SPACE}{ENTER}"
"223",952,63,5,20,24,19,3,2,40,"not{SPACE}paying{SPACE}so{SPACE}much{SPACE}attention{SPACE}to{SPACE}the{SPACE}math{SPACE}problem{/}repeating{SPACE}the{SPACE}tones{SPACE}as{SPACE}i{SPACE}do{SPACE}the{SPACE}math{SPACE}problem{ENTER}"
"224",953,41,8,8,15,18,8,0,22,"my{SPACE}finger{SPACE}positions{ENTER}"
"225",954,16,5,5,5,6,5,0,0,"{SHIFT}I{SPACE}did{SPACE}not{SPACE}use{SPACE}any{SPACE}strategies{.}{ENTER}"
"226",955,16,10,13,1,2,9,1,0,"{CAPSLOCK}I{CAPSLOCK}{SPACE}really{SPACE}ad{SPACE}no{SPACE}strategies{,}{SPACE}doing{SPACE}math{SPACE}and{SPACE}trying{SPACE}to{SPACE}remeber{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}tones{SPACE}was{SPACE}very{SPACE}hard{.}{ENTER}"
"227",956,31,7,10,9,12,3,4,10,"{SHIFT}rehearsing{SPACE}the{SPACE}words{SHIFT}{SPACE}{QUOTE}high{,}{SPACE}low{,}{SPACE}or{SPACE}medium{SPACE}in{SPACE}a{SPACE}pattern{SPACE}while{SPACE}working{SPACE}through{SPACE}the{SPACE}problems{ENTER}"
"228",957,45,3,12,20,13,3,0,16,"i{SPACE}tried{SPACE}to{SPACE}tap{SPACE}them{SPACE}out{SPACE}on{SPACE}my{SPACE}fingers{.}{.}{SPACE}for{SPACE}some{SPACE}it{SPACE}worked{,}{SPACE}and{SPACE}for{SPACE}some{SPACE}not{SPACE}so{SPACE}much{ENTER}"
"229",958,29,7,10,7,12,5,2,18,"i{SPACE}tried{SPACE}to{SPACE}repeat{SPACE}the{SPACE}sounds{SPACE}to{SPACE}myself{SPACE}in{SPACE}the{SPACE}order{SPACE}that{SPACE}they{SPACE}were{SPACE}played{SPACE}directly{SPACE}after{SPACE}they{SPACE}were{SPACE}played{ENTER}"
"230",959,62,5,16,23,23,3,2,39,"{SPACE}1{-}low{ENTER}"
"231",960,51,1,17,20,14,1,0,27,"{SHIFT}I{SPACE}tried{SPACE}to{SPACE}repeat{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}after{SPACE}doing{SPACE}each{SPACE}math{SPACE}problem{UPARROW}{SPACE}and{SPACE}everytime{SPACE}{SHIFT}I{SPACE}start{SPACE}from{SPACE}the{SPACE}first{SPACE}tone{SPACE}and{SPACE}repeat{SPACE}through{SPACE}the{SPACE}one{SPACE}{SHIFT}I{SPACE}just{SPACE}heard{.}{ENTER}"
"232",961,23,6,8,7,8,5,1,0,"{SPACE}{ENTER}"
"233",962,30,2,13,12,5,1,1,12,"{SHIFT}I{SPACE}tried{SPACE}to{SPACE}memorize{SPACE}them{SPACE}at{SPACE}first{SPACE}but{SPACE}the{SPACE}interval{SPACE}of{SPACE}the{SPACE}trial{SPACE}got{SPACE}too{SPACE}long{SPACE}for{SPACE}me{SPACE}to{SPACE}remember{.}{SPACE}{SHIFT}I{SPACE}then{SPACE}tried{SPACE}to{SPACE}break{SPACE}it{SPACE}into{SPACE}3{SPACE}categories{SPACE}on{SPACE}my{SPACE}hands{SPACE}and{SPACE}got{SPACE}the{SPACE}number{SPACE}of{SPACE}them{SPACE}right{,}{SPACE}but{SPACE}not{SPACE}the{SPACE}order{.}{ENTER}"
"234",963,59,4,21,20,18,3,1,32,"{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}tones{SPACE}over{SPACE}and{SPACE}over{SPACE}in{SPACE}my{SPACE}head{SPACE}and{SPACE}mouthing{SPACE}the{SPACE}words{SPACE}medium{,}{SPACE}low{,}{SPACE}and{SPACE}high{.}{ENTER}"
"235",964,52,5,18,14,20,4,1,31,"{SHIFT}I{SPACE}tried{SPACE}memorizing{SPACE}tones{SPACE}3{SPACE}at{SPACE}a{SPACE}time{ENTER}"
"236",965,34,4,9,13,12,3,1,0,"{SHIFT}Tried{SPACE}using{SPACE}my{SPACE}fingers{SPACE}to{SPACE}record{SPACE}if{SPACE}the{SPACE}tones{SPACE}were{SPACE}low{,}{SPACE}med{SPACE}or{SPACE}high{SHIFT}{ENTER}"
"237",966,56,1,17,22,17,1,0,40,"{SPACE}memorizing{SPACE}groups{SPACE}of{SPACE}letters{SPACE}instead{SPACE}of{SPACE}the{SPACE}actual{SPACE}tones{,}{SPACE}just{SPACE}thinking{SPACE}mhl{LEFTARROW}{RIGHTARROW}{ENTER}"
"238",967,37,10,12,15,10,10,0,16,"i{SPACE}kept{SPACE}going{SPACE}over{SPACE}the{SPACE}tones{SPACE}in{SPACE}order{SPACE}in{SPACE}my{SPACE}head{SPACE}{ENTER}"
"239",968,47,10,17,14,16,8,2,25,"towards{SPACE}the{SPACE}end{SPACE}i{SPACE}assigned{SPACE}the{SPACE}tones{SPACE}nimbers{,}{SPACE}1{SPACE}being{SPACE}low{,}{SPACE}2{SPACE}neing{SPACE}medium{,}{SPACE}and{SPACE}3{SPACE}being{SPACE}high{.}{ENTER}"
"240",969,57,5,19,16,22,4,1,42,"{SHIFT}Used{SPACE}my{SPACE}hands{SPACE}to{SPACE}remember{SPACE}the{SPACE}order{SPACE}in{SPACE}which{SPACE}the{SPACE}tones{SPACE}were{SPACE}heard{.}{SPACE}{ENTER}"
"241",970,36,36,11,14,11,35,1,19,"{ENTER}"
"242",971,52,11,12,20,20,9,2,25,"saying{SPACE}the{SPACE}tones{SPACE}over{SPACE}and{SPACE}over{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"243",972,50,2,14,17,19,0,2,18,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}keep{SPACE}track{SPACE}of{SPACE}how{SPACE}many{SPACE}tones{SPACE}i{SPACE}had{SPACE}heard{SPACE}and{SPACE}{SHIFT}I{SPACE}tried{SPACE}to{SPACE}repeat{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}tones{SPACE}before{SPACE}each{SPACE}math{SPACE}problem{ENTER}"
"244",973,64,8,23,20,21,5,3,32,"focused{SPACE}more{SPACE}on{SPACE}tone{SPACE}than{SPACE}math{,}{SPACE}just{SPACE}guessed{SPACE}with{SPACE}the{SPACE}math{SPACE}as{SPACE}if{SPACE}it{SPACE}looked{SPACE}to{SPACE}be{SPACE}close{SPACE}to{SPACE}the{SPACE}right{SPACE}answer{ENTER}"
"245",974,55,6,21,16,18,5,1,40,"{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}name{SPACE}of{SPACE}each{SPACE}tone{SPACE}after{SPACE}each{SPACE}problem{SPACE}in{SPACE}order{,}{SPACE}so{SPACE}that{SPACE}{SHIFT}I{SPACE}could{SPACE}remember{SPACE}them{.}{ENTER}"
"246",975,61,5,22,17,22,5,0,30,"i{SPACE}repeated{SPACE}the{SPACE}first{SPACE}letters{SPACE}of{SPACE}the{SPACE}tones{-}ie{,}{SPACE}{SHIFT}H{,}{SHIFT}L{SHIFT}{SHIFT}{,}{SHIFT}M{,}{SPACE}etc{SPACE}over{SPACE}again{SPACE}until{SPACE}it{SPACE}was{SPACE}time{SPACE}to{SPACE}enter{SPACE}them{.}{ENTER}"
"247",977,68,2,21,22,25,2,0,51,"{CAPSLOCK}I{CAPSLOCK}{SPACE}repeated{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}as{SPACE}they{SPACE}came{SPACE}up{SPACE}while{SPACE}solving{SPACE}the{SPACE}math{SPACE}problems{.}{ENTER}"
"248",978,52,2,14,17,21,2,0,23,"repeated{SPACE}back{SPACE}to{SPACE}myself{SPACE}in{SPACE}my{SPACE}head{SPACE}the{SPACE}tones{SPACE}while{SPACE}working{SPACE}the{SPACE}math{SPACE}problems{.}{ENTER}"
"249",979,42,5,13,15,14,3,2,20,"try{SPACE}to{SPACE}chunck{SPACE}the{SPACE}tones{SPACE}together{ENTER}"
"250",980,0,3,0,0,0,3,0,0,"i{SPACE}just{SPACE}focused{SPACE}on{SPACE}the{SPACE}math{SPACE}because{SPACE}i{SPACE}am{SPACE}very{SPACE}bad{SPACE}at{SPACE}math{SPACE}and{SPACE}wanted{SPACE}to{SPACE}stay{SPACE}above{SPACE}85{SHIFT}{%}{ENTER}"
"251",981,49,6,18,19,12,3,3,15,"instead{SPACE}of{SPACE}doing{SPACE}low{SPACE}medium{SPACE}high{SPACE}i{SPACE}try{SPACE}to{SPACE}remember{SPACE}the{SPACE}letters{SPACE}like{SPACE}l{SPACE}m{SPACE}h{ENTER}"
"252",982,66,5,22,21,23,2,3,42,"{SHIFT}I{SPACE}{SHIFT}just{SPACE}repeated{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}until{SPACE}the{SPACE}end{SPACE}of{SPACE}the{SPACE}problems{.}{ENTER}"
"253",983,57,2,20,15,22,1,1,32,"fingers{SPACE}and{SPACE}memory{BACKSLASH}{ENTER}"
"254",984,54,4,14,15,25,4,0,36,"kept{SPACE}track{SPACE}of{SPACE}how{SPACE}many{SPACE}tones{SPACE}and{SPACE}corresponding{SPACE}letters{.}{SPACE}didnt{SPACE}pay{SPACE}attention{SPACE}to{SPACE}math{SPACE}answers{SPACE}{ENTER}"
"255",985,41,5,11,15,15,2,3,9,"{ENTER}"
"256",986,25,2,11,8,6,2,0,7,"none{ENTER}"
"257",987,33,4,10,10,13,4,0,6,"i{SPACE}would{SPACE}repeat{SPACE}what{SPACE}kind{SPACE}of{SPACE}tone{SPACE}it{SPACE}was{SPACE}{SHIFT}{SHIFT}{SHIFT}s{SPACE}in{SPACE}my{SPACE}head{SPACE}right{SPACE}after{SPACE}it{SPACE}was{SPACE}played{.}{SPACE}then{SPACE}i{SPACE}would{SPACE}try{SPACE}to{SPACE}repeat{SPACE}the{SPACE}order{SPACE}in{SPACE}my{SPACE}head{SPACE}while{SPACE}completing{SPACE}the{SPACE}math{SPACE}problems{ENTER}"
"258",988,50,7,17,14,19,5,2,32,"{SHIFT}I{SPACE}assigned{SPACE}{SHIFT}Do{SPACE}{SHIFT}Mi{SPACE}and{SPACE}{SHIFT}Sol{SPACE}to{SPACE}the{SPACE}{SHIFT}L{SPACE}{SHIFT}{SHIFT}{SHIFT}M{SPACE}and{SPACE}{SHIFT}H{SPACE}pitches{SPACE}and{SPACE}tried{SPACE}repeating{SPACE}the{SPACE}order{SPACE}in{SPACE}my{SPACE}head{SPACE}repeatedly{SPACE}as{SPACE}{SHIFT}I{SPACE}worked{SPACE}on{SPACE}the{SPACE}math{SPACE}problems{SPACE}to{SPACE}try{SPACE}to{SPACE}keep{SPACE}the{SPACE}order{SPACE}in{SPACE}mu{SPACE}head{.}{ENTER}"
